出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1150617","11505","3533","嘉澤","電子零組件業","3041077","3391879","2790516","-10.342409030510817","8.979020367559261","15817038","13492115","17.23171645068249","-"
"1150617","11505","3535","晶彩科","光電業","110652","19812","4751","458.5099939430648","2229.0254683224584","455763","75979","499.8539070006186","本公司以銷售機台為主，115年累計出售機台較去年同期增加，此為產業特性，尚屬正常。"
"1150617","11505","3543","州巧","光電業","269070","288901","261823","-6.864289150954825","2.767900451831963","1394697","1468877","-5.050116517584522","-"
"1150617","11505","3545","敦泰","半導體業","901113","953517","1057360","-5.495864258319464","-14.777086328213665","4328481","5163077","-16.16470178538883","-"
"1150617","11505","3550","聯穎","電子零組件業","391681","448134","286798","-12.59734811462643","36.57033870529083","1847624","1473413","25.397563344425492","-"
"1150617","11505","3557","嘉威","居家生活","334491","262733","187274","27.31213817830269","78.61048517146","2028434","2468189","-17.816909483025814","依客戶交期出貨"
"1150617","11505","3563","牧德","光電業","349020","343253","331943","1.680101849073424","5.144557951214516","1555936","1454596","6.966882900819196","-"
"1150617","11505","3576","聯合再生","光電業","324464","225401","254230","43.94967191804828","27.62616528340479","1069894","1453612","-26.397553129720997","-"
"1150617","11505","3583","辛耘","半導體業","971001","989044","956785","-1.824286887135456","1.4858092465914494","5080367","4662934","8.952153300904538","-"
"1150617","11505","3588","通嘉","半導體業","143352","143205","117778","0.10265004713522573","21.71373261559884","683612","586948","16.468920585809986","-"
"1150617","11505","3591","艾笛森","光電業","215701","232692","205129","-7.301927010812577","5.153830028908638","1030033","1007620","2.2243504495742443","-"
"1150617","11505","3592","瑞鼎","半導體業","2272067","2318525","1928364","-2.003773951111159","17.82355405929586","10027992","9795287","2.375683326073039","-"
"1150617","11505","3593","力銘","電子零組件業","68560","74983","125164","-8.565941613432377","-45.22386628743089","276524","518700","-46.689030267977635","-"
"1150617","11505","3596","智易","通信網路業","4615776","4528964","4428537","1.9168180625856157","4.228010288725148","21928858","21608151","1.4841945523242595","-"
"1150617","11505","3605","宏致","電子零組件業","1108233","1124603","960867","-1.4556247849241022","15.336773976002922","5054378","4503397","12.234786317972855","-"
"1150617","11505","3607","谷崧","電子零組件業","266288","246692","290832","7.943508504531967","-8.439236397645375","1151580","1212606","-5.032632198752109","-"
"1150617","11505","3617","碩天","其他電子業","1085436","1027694","893405","5.618598532247926","21.494283107885003","5038450","4777708","5.457470402125873","-"
"1150617","11505","3622","洋華","光電業","137674","137524","138894","0.10907187109159129","-0.8783676760695206","638617","628218","1.6553171032985365","-"
"1150617","11505","3645","達邁","電子零組件業","225738","237109","226559","-4.795684685102632","-0.36237801190859775","1026985","985221","4.239048903748499","-"
"1150617","11505","3652","精聯","電腦及週邊設備業","249438","257582","175185","-3.1617116102833274","42.38547820875075","1127802","930337","21.22510445139772","-"
"1150617","11505","3653","健策","電子零組件業","2313449","2311149","1679474","0.09951759925474299","37.748425995281856","9929814","8252747","20.321318465233453","-"
"1150617","11505","3661","世芯-KY","半導體業","1935098","2132653","2907751","-9.263344763540998","-33.45035389894114","8254522","16526225","-50.051981018048586","本年營收較去年同期減少，係因量產產品減少所致。"
"1150617","11505","3665","貿聯-KY","其他電子業","7352121","7382955","5201409","-0.4176376532160903","41.348642262125516","35592444","27726200","28.371157966111475","-"
"1150617","11505","3669","圓展","通信網路業","218354","231990","231253","-5.877839562050088","-5.577873584342689","1139405","987415","15.392717347822344","-"
"1150617","11505","3673","TPK-KY","光電業","6149316","6803844","6313223","-9.619973650189511","-2.596249174153994","30839856","26445869","16.61502217983459","-"
"1150617","11505","3679","新至陞","電子零組件業","343815","355781","400975","-3.3633049544523175","-14.255252821248208","1726797","1979360","-12.759831460674157","-"
"1150617","11505","3686","達能","半導體業","9029","2061","7060","338.0883066472586","27.889518413597735","34763","31639","9.873889819526534","-"
"1150617","11505","3694","海華","通信網路業","988129","896478","1090916","10.22345222080185","-9.422081993480708","4906352","4406137","11.35268830724056","-"
"1150617","11505","3701","大眾控","電腦及週邊設備業","615397","749863","905234","-17.93207559247489","-32.0179091814934","3369038","4804500","-29.877448225621812","-"
"1150617","11505","3702","大聯大","電子通路業","138023979","127337859","75461393","8.391942572240044","82.90674676519687","581862320","416079985","39.84386199206386","全球科技與能源設施擴建帶動半導體及電子零組件升級，車用、工控需求穩步推進，智能倉儲管理與資訊系統整合服務需求同步擴增。"
"1150617","11505","3703","欣陸","建材營造","2655799","2154919","2574351","23.24356507135535","3.1638265333670508","11171823","12355583","-9.580770085879395","-"
"1150617","11505","3704","合勤控","通信網路業","2406584","2881177","1835256","-16.472191746636877","31.130697842698783","11597969","10879569","6.603202755550335","-"
"1150617","11505","3705","永信","生技醫療業","657963","693850","679727","-5.172155364992434","-3.201873693409266","3192678","3563872","-10.415469466916882","-"
"1150617","11505","3706","神達","電腦及週邊設備業","13638501","11633086","9134910","17.238890866963416","49.30087981162376","57135509","41621536","37.27390791151965","-"
"1150617","11505","3708","上緯投控","綠能環保","132546","108570","77693","22.08344846642719","70.6022421582382","429926","502314","-14.410906325525469","循環經濟材料需求增加"
"1150617","11505","3711","日月光投控","半導體業","63033313","62247107","49026935","1.2630402245039276","28.568740836032276","298942572","249390964","19.869047059780403","-"
"1150617","11505","3712","永崴投控","電腦及週邊設備業","1291272","1641570","1162940","-21.339205760339187","11.035135088654616","8885794","10323112","-13.923301423059248","-"
"1150617","11505","3714","富采","光電業","2089663","2100067","1932732","-0.4954127654022467","8.119646179604828","9435214","9578550","-1.4964269122153144","-"
"1150617","11505","3715","定穎投控","電子零組件業","2516224","2065738","1487887","21.807508987102914","69.11391792521879","10218332","7607547","34.318355180717255","主係客戶需求增加所致"
"1150617","11505","3716","中化控股","生技醫療業","659301","675653","689752","-2.420177221147542","-4.414775165566755","3564551","3663373","-2.6975686068549396","-"
